clip_id,source_path,action_type,fps_original,fps_target,width,height,duration_sec,start_time_sec,end_time_sec,difficulty_tags,notes
suzhou_img_8123,../baseball-dataset-suzhou/IMG_8123.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8125,../baseball-dataset-suzhou/IMG_8125.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8126,../baseball-dataset-suzhou/IMG_8126.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8127,../baseball-dataset-suzhou/IMG_8127.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8128,../baseball-dataset-suzhou/IMG_8128.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8129,../baseball-dataset-suzhou/IMG_8129.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8130,../baseball-dataset-suzhou/IMG_8130.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8131,../baseball-dataset-suzhou/IMG_8131.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8132,../baseball-dataset-suzhou/IMG_8132.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8133,../baseball-dataset-suzhou/IMG_8133.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8134,../baseball-dataset-suzhou/IMG_8134.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8135,../baseball-dataset-suzhou/IMG_8135.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8136,../baseball-dataset-suzhou/IMG_8136.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8137,../baseball-dataset-suzhou/IMG_8137.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8138,../baseball-dataset-suzhou/IMG_8138.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8139,../baseball-dataset-suzhou/IMG_8139.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8140,../baseball-dataset-suzhou/IMG_8140.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8141,../baseball-dataset-suzhou/IMG_8141.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8142,../baseball-dataset-suzhou/IMG_8142.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8143,../baseball-dataset-suzhou/IMG_8143.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8144,../baseball-dataset-suzhou/IMG_8144.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8145,../baseball-dataset-suzhou/IMG_8145.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8146,../baseball-dataset-suzhou/IMG_8146.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8147,../baseball-dataset-suzhou/IMG_8147.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8148,../baseball-dataset-suzhou/IMG_8148.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8149,../baseball-dataset-suzhou/IMG_8149.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8150,../baseball-dataset-suzhou/IMG_8150.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8151,../baseball-dataset-suzhou/IMG_8151.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8152,../baseball-dataset-suzhou/IMG_8152.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8153,../baseball-dataset-suzhou/IMG_8153.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8154,../baseball-dataset-suzhou/IMG_8154.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8155,../baseball-dataset-suzhou/IMG_8155.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8157,../baseball-dataset-suzhou/IMG_8157.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8158,../baseball-dataset-suzhou/IMG_8158.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8159,../baseball-dataset-suzhou/IMG_8159.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8160,../baseball-dataset-suzhou/IMG_8160.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8161,../baseball-dataset-suzhou/IMG_8161.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8162,../baseball-dataset-suzhou/IMG_8162.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8163,../baseball-dataset-suzhou/IMG_8163.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8164,../baseball-dataset-suzhou/IMG_8164.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8165,../baseball-dataset-suzhou/IMG_8165.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8166,../baseball-dataset-suzhou/IMG_8166.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8167,../baseball-dataset-suzhou/IMG_8167.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8168_2,../baseball-dataset-suzhou/IMG_8168 2.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8169_2,../baseball-dataset-suzhou/IMG_8169 2.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8170_2,../baseball-dataset-suzhou/IMG_8170 2.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8171,../baseball-dataset-suzhou/IMG_8171.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8172,../baseball-dataset-suzhou/IMG_8172.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8173,../baseball-dataset-suzhou/IMG_8173.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8174,../baseball-dataset-suzhou/IMG_8174.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8175,../baseball-dataset-suzhou/IMG_8175.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8176,../baseball-dataset-suzhou/IMG_8176.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8177,../baseball-dataset-suzhou/IMG_8177.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8178_3,../baseball-dataset-suzhou/IMG_8178 3.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8179,../baseball-dataset-suzhou/IMG_8179.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8180,../baseball-dataset-suzhou/IMG_8180.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8181_3,../baseball-dataset-suzhou/IMG_8181 3.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8182_3,../baseball-dataset-suzhou/IMG_8182 3.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
suzhou_img_8183_3,../baseball-dataset-suzhou/IMG_8183 3.MOV,batting,,30,,,,,,"dataset_suzhou;full_batch","Suzhou dataset full-video batch import."
