trial_id,sample_name,athlete,action_type,source_file,frames,rate_hz,duration_sec,point_count,valid_point_pct,hip_shoulder_sep_deg,lead_knee_angle_deg,right_elbow_angle_deg,left_elbow_angle_deg,trunk_tilt_deg,hand_speed_kmh,trunk_speed_kmh,hip_speed_kmh,bat_speed_kmh,swing_time_sec,bat_angle_deg
bryan_001_cal_04_bat_05,bryan,bryan,batting,vicon_2026/bryan/001 Cal 04 Bat 05.c3d,2136,100.0,21.36,44,97.88368232890706,26.39615084212076,155.21736211917136,53.92117703125277,78.23445572350214,31.95540714027359,15.803577224397994,15.534692333036151,3.1298982808554636,67.01766943722113,0.42,37.695255078423514
bryan_001_cal_04_pitch_05,bryan,bryan,pitching,vicon_2026/bryan/001 Cal 04 Pitch 05.c3d,662,100.0,6.62,191,99.01614969709432,28.0085641953152,160.87077202003545,73.70494534258498,79.68050295047604,45.26024579634469,29.261093261918457,6.035287003561186,5.689382284351046,nan,nan,nan
green_006_bat_04,green,green,batting,vicon_2026/green/006 Bat 04.c3d,2089,100.0,20.89,44,99.95865790504374,30.294350728360453,157.62606111307235,67.33341628941392,116.28976888526489,25.930531156675407,25.023671724971564,3.0492856062731324,16.348834472113047,66.06201935142654,0.42,2.2215242737335776
green_006_pitch_09,green,green,pitching,vicon_2026/green/006 Pitch 09.c3d,2815,100.0,28.15,191,88.73648089423712,32.828643546093666,160.63500687941539,99.18106516278993,94.5747224016375,37.641232735523936,41.143690038744786,6.657561483535126,16.964643329030753,nan,nan,nan
